  0.145906779661E+02  0.146000000000E+02  0.145813559322E+02  0.842900232267E+11  0.905635136396E+07  0.842809668753E+11  0.905585880847E+07  0.492537402364E+03  0.180824275941E-01
  0.145720338983E+02  0.145813559322E+02  0.145627118644E+02  0.118238111417E+12  0.307910161941E+08  0.118207320401E+12  0.307883556394E+08  0.266042078284E+04  0.133944588556E+00
  0.145533898305E+02  0.145627118644E+02  0.145440677966E+02  0.164402045063E+12  0.611129515690E+08  0.164340932111E+12  0.611052877499E+08  0.766330535046E+04  0.513717786410E+00
  0.145347457627E+02  0.145440677966E+02  0.145254237288E+02  0.226577630694E+12  0.103084930140E+09  0.226474545764E+12  0.103068318605E+09  0.166101272416E+05  0.140779448342E+01
  0.145161016949E+02  0.145254237288E+02  0.145067796610E+02  0.309507552653E+12  0.160710459159E+09  0.309346842193E+12  0.160679449929E+09  0.310060652049E+05  0.316456969081E+01
  0.144974576271E+02  0.145067796610E+02  0.144881355932E+02  0.419086591472E+12  0.239172990872E+09  0.418847418482E+12  0.239120112352E+09  0.528722544843E+05  0.626561987585E+01
  0.144788135593E+02  0.144881355932E+02  0.144694915254E+02  0.562372898410E+12  0.345104834120E+09  0.562027793576E+12  0.345019926344E+09  0.848964045594E+05  0.113715652980E+02
  0.144601694915E+02  0.144694915254E+02  0.144508474576E+02  0.747818489488E+12  0.486879230533E+09  0.747331610258E+12  0.486748594386E+09  0.130616766213E+06  0.193807311118E+02
  0.144415254237E+02  0.144508474576E+02  0.144322033898E+02  0.985304549141E+12  0.674934790583E+09  0.984629614350E+12  0.674740116814E+09  0.194642264809E+06  0.315039020021E+02
  0.144228813559E+02  0.144322033898E+02  0.144135593220E+02  0.128615799909E+13  0.922118802939E+09  0.128523588028E+13  0.921835836301E+09  0.282917279310E+06  0.493590306713E+02
  0.144042372881E+02  0.144135593220E+02  0.143949152542E+02  0.166302937689E+13  0.124402164826E+10  0.166178535524E+13  0.124361854527E+10  0.403027905348E+06  0.750893265344E+02
  0.143855932203E+02  0.143949152542E+02  0.143762711864E+02  0.212893025258E+13  0.165919395035E+10  0.212727105863E+13  0.165862929415E+10  0.564544691395E+06  0.111508314516E+03
  0.143669491525E+02  0.143762711864E+02  0.143576271186E+02  0.269901635533E+13  0.218946224205E+10  0.269682689309E+13  0.218868267459E+10  0.779405180132E+06  0.162275716370E+03
  0.143483050847E+02  0.143576271186E+02  0.143389830508E+02  0.338789393910E+13  0.286014996483E+10  0.338503378914E+13  0.285908739861E+10  0.106233411429E+07  0.232108181433E+03
  0.143296610169E+02  0.143389830508E+02  0.143203389831E+02  0.420961296542E+13  0.369999626506E+10  0.420591296915E+13  0.369856466559E+10  0.143127243951E+07  0.327026960507E+03
  0.143110169492E+02  0.143203389831E+02  0.143016949153E+02  0.517655733243E+13  0.474094370442E+10  0.517181638873E+13  0.473903544775E+10  0.190780202488E+07  0.454643441694E+03
  0.142923728814E+02  0.143016949153E+02  0.142830508475E+02  0.629808782319E+13  0.601764490725E+10  0.629207017829E+13  0.601512673967E+10  0.251754309112E+07  0.624483097681E+03
  0.142737288136E+02  0.142830508475E+02  0.142644067797E+02  0.757896246521E+13  0.756662166240E+10  0.757139584354E+13  0.756333033515E+10  0.329047890428E+07  0.848345108697E+03
  0.142550847458E+02  0.142644067797E+02  0.142457627119E+02  0.901776496240E+13  0.942504414129E+10  0.900833991826E+13  0.942078183348E+10  0.426116712032E+07  0.114069108572E+04
  0.142364406780E+02  0.142457627119E+02  0.142271186441E+02  0.106044180291E+14  0.116290133791E+11  0.105927890157E+14  0.116235430798E+11  0.546878020417E+07  0.151905227867E+04
  0.142177966102E+02  0.142271186441E+02  0.142084745763E+02  0.123188892659E+14  0.142113661895E+11  0.123046778997E+14  0.142044072776E+11  0.695690745969E+07  0.200443863528E+04
  0.141991525424E+02  0.142084745763E+02  0.141898305085E+02  0.141296838349E+14  0.171991050198E+11  0.141124847299E+14  0.171903293338E+11  0.877306430407E+07  0.262172742025E+04
  0.141805084746E+02  0.141898305085E+02  0.141711864407E+02  0.159929264165E+14  0.206104916141E+11  0.159723159249E+14  0.205995203581E+11  0.109678559781E+08  0.340000403253E+04
  0.141618644068E+02  0.141711864407E+02  0.141525423729E+02  0.178525485868E+14  0.244519375722E+11  0.178280966492E+14  0.244383394938E+11  0.135937056759E+08  0.437280446964E+04
  0.141432203390E+02  0.141525423729E+02  0.141338983051E+02  0.196430307613E+14  0.287150658920E+11  0.196143156954E+14  0.286983572428E+11  0.167030710443E+08  0.557818769359E+04
  0.141245762712E+02  0.141338983051E+02  0.141152542373E+02  0.212899452489E+14  0.333747365010E+11  0.212565705124E+14  0.333543827147E+11  0.203467275726E+08  0.705880914209E+04
  0.141059322034E+02  0.141152542373E+02  0.140966101695E+02  0.227152676888E+14  0.383872939368E+11  0.226768803949E+14  0.383627135970E+11  0.245714780559E+08  0.886171324085E+04
  0.140872881356E+02  0.140966101695E+02  0.140779661017E+02  0.238438353307E+14  0.436902452885E+11  0.238001450854E+14  0.436608165781E+11  0.294176725533E+08  0.110379062916E+05
  0.140686440678E+02  0.140779661017E+02  0.140593220339E+02  0.246102947571E+14  0.492037020315E+11  0.245610910551E+14  0.491687715662E+11  0.349168234952E+08  0.136417233395E+05
  0.140547110169E+02  0.140593220339E+02  0.140501000000E+02  0.249340160135E+14  0.534005321095E+11  0.248806154814E+14  0.533611169128E+11  0.393993475423E+08  0.158491664705E+05
