         80          10         2                                            

Angular distribution:

         eV  Coefficients
 1.540000+6  2.043870-1 4.694000-2 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 1.650000+6  1.946430-1 6.586200-2 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 1.750000+6  1.629670-1 7.007000-2 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 1.850000+6  1.530430-1 8.851200-2 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 1.950000+6  1.031700-1 7.993000-2 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 2.050000+6  8.865670-2 1.157960-1 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 2.150000+6  6.687330-2 1.285600-1 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 2.250000+6  8.876000-2 1.701040-1 2.664860-2 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 2.480000+6  1.015400-1 2.532200-1 5.100140-2 1.494780-2 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 2.630000+6  2.086970-1 2.943000-1 9.495290-2 1.518330-2 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 2.770000+6  3.861000-1 3.356800-1 1.215190-1 1.000200-2 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 2.970000+6  3.308830-1 3.135800-1 1.361510-1 9.123780-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 3.000000+6  3.133030-1 3.095400-1 1.371990-1 8.925890-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 3.350000+6  3.666670-1 3.059000-1 1.200240-1 5.471110-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 3.500000+6  3.780330-1 3.102200-1 1.200930-1 1.916670-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 3.550000+6  3.903670-1 3.089400-1 1.130140-1 2.713440-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 3.650000+6  3.969670-1 3.089400-1 1.163070-1 7.556440-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 3.750000+6  4.048000-1 3.120000-1 1.139570-1 7.732890-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 4.100000+6  4.068670-1 2.940000-1 8.569710-2 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 4.500000+6  4.843300-1 3.167500-1 1.134700-1 1.529500-2 3.908100-3 1.372000-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 5.000000+6  4.868800-1 3.408700-1 1.240100-1 2.276300-2 1.884000-3 1.952000-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 5.500000+6  5.096700-1 3.514900-1 1.333400-1 2.586900-2-3.682200-4-1.887800-4 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 5.900000+6  5.345900-1 3.728000-1 1.589000-1 4.420900-2 4.277800-3 3.839100-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0
 6.500000+6  5.526100-1 3.832600-1 1.800200-1 4.890700-2 2.925900-3 2.271100-3 0.000000+0 0.000000+0 0.000000+0 0.000000+0
