0.1,0.00671
0.13,0.00886
0.17,0.01207
0.2,0.01465
0.24,0.01838
0.3,0.0246
0.34,0.029
0.4,0.0365
0.48,0.0483
0.6,0.0678
0.72,0.091
0.84,0.1175
1,0.1562
1.3,0.2385
1.7,0.366
2,0.4725
2.4,0.625
3,0.866
3.4,1.042
4,1.327
4.8,1.718
6,2.31
7.2,2.95
8.4,3.62
10,4.55
13,6.36
17,8.83
20,10.8
24,13.5
30,17.7
34,20.5
40,24.8
